Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,0.975672,12.4801448,29.16698906,0.0014
ADSL,1.03416,11.45504155,29.32444721,0.0009
ADSL,0.903904,8.532981935,30.32199725,0.0025
ADSL,0.70708,3.861123871,27.4497561,0.0007
ADSL,0.750816,3.041680516,15.28053,0.0002
ADSL,0.959176,16.49369497,30.9005522,0.0013
ADSL,0.857808,3.410599226,37.04167181,0.0008
ADSL,0.929144,10.79839897,22.2194533,0.0019
ADSL,0.92672,8.754608258,26.97599038,0.0001
ADSL,0.373248,2.874265032,47.73933725,0.002
ADSL,0.615472,3.943698581,28.14146199,0.0012
ADSL,1.012936,17.78638813,5.68887977,0.0002
ADSL,1.08008,15.20486314,14.91057908,0.0009
ADSL,0.3984,3.38485,40.68508178,0.0013
ADSL,0.88436,3.105332645,29.00626068,0.0017
ADSL,0.880392,16.63628852,25.65355462,0.001
ADSL,0.762256,2.540321548,20.08946444,0.0017
ADSL,0.94864,13.38736336,19.36305615,0.0003
ADSL,0.847872,14.13439768,16.98042424,0.0021
ADSL,0.877256,13.33929419,26.51379561,0.0007
ADSL,0.3452,7.38145471,31.76374247,0.0012
ADSL,0.53816,1.342891613,31.53742753,0.0029
ADSL,0.687,4.229893818,29.7379,0.0028
ADSL,0.824688,11.17512542,31.62558929,0.0017
ADSL,0.643072,2.528936516,35.36010046,0.0003
ADSL,1.006696,8.375069678,26.02337037,0.0005
ADSL,1.007,1.94991871,24.32408482,0.0006
ADSL,0.727808,3.922501162,32.77531511,0.0003
ADSL,1.038416,17.59839484,28.55221948,0.0001
ADSL,0.98348,15.97614374,14.03000149,0.002
ADSL,0.932512,16.57090839,22.05962448,0.0003
ADSL,0.999672,5.707482322,21.57206657,0.0001
ADSL,1.0674,20.18462374,22.67561859,0.0017
ADSL,0.389368,0.864392774,36.54434478,0.0017
ADSL,0.863008,6.819853419,28.00778404,0.0001
ADSL,0.886808,10.12000929,40.13966667,0.0006
ADSL,0.913976,13.83349707,38.03868317,0.0009
ADSL,0.96712,13.2527312,28.14609524,0.0001
ADSL,0.939264,13.611442,37.97098157,0.001
ADSL,1.0414,8.09135552,24.87418506,0.0015
ADSL,0.8512,18.056824,8.25226582,0.0366
ADSL,0.943488,14.963356,37.85424167,0.0013
ADSL,0.749256,10.93997419,32.01354006,0.0017
ADSL,0.941512,7.194737548,37.31501923,0.0025
ADSL,0.892336,5.269477419,42.07050315,0.0007
ADSL,0.536832,2.142920516,33.20583384,0.0007
ADSL,0.861616,12.33814529,42.77211732,0.0008
ADSL,0.858304,8.3118952,14.44134438,0.0004
ADSL,0.667544,10.31489886,25.28234295,0.0033
ADSL,0.992328,4.886170838,22.51294295,0.0004
ADSL,1.095552,19.10802194,20.03161431,0.0003
ADSL,0.375528,1.987064286,48.09938829,0.0014
ADSL,1.045032,14.85724387,11.02549793,0.0001
ADSL,0.66076,4.888343226,17.47042797,0.0044
ADSL,0.569928,2.695172,43.98540876,0.0015
ADSL,0.850472,5.07359871,23.87056338,0.0031
ADSL,0.965392,7.544599226,30.10785655,0.0003
ADSL,1.04248,9.900467466,13.7113231,0.0007
ADSL,0.504576,14.03921629,23.13700381,0.0014
ADSL,1.04944,17.12963277,10.22825103,0.0002
ADSL,0.81792,16.24420439,34.08861801,0.0025
ADSL,0.642072,4.230072,21.88462778,0.0022
ADSL,1.096336,16.28876981,8.94514698,0.0457
ADSL,0.749416,5.947812129,36.24451791,0.0008
ADSL,0.529488,1.001907355,37.3901493,0.0014
ADSL,0.3744,1.660349162,31.75455487,0.0022
ADSL,1.009152,16.96028427,11.03101958,0.0004
ADSL,0.98764,13.76585961,29.62753112,0.0004
ADSL,1.030728,8.922863111,18.27517647,0.0062
ADSL,0.372096,1.332719484,34.51822355,0.0009
ADSL,0.732184,16.92903484,28.97420556,0.0027
ADSL,0.5004,1.859992258,46.52036264,0.0004
ADSL,1.01232,7.938387871,11.85854124,0.0014
ADSL,1.009072,14.14943587,18.285375,0.0006
ADSL,0.71196,8.537719742,34.19313333,0.0003
ADSL,0.58184,2.749944774,21.0502398,0.0009
